World_bank_region;Country_Region;Province_State;World_Bank_Name;Health_exp_pct_GDP_2016;Health_exp_public_pct_2016;Health_exp_out_of_pocket_pct_2016;Health_exp_per_capita_USD_2016;per_capita_exp_PPP_2016;External_health_exp_pct_2016;Physicians_per_1000_2009-18;Nurse_midwife_per_1000_2009-18;Specialist_surgical_per_1000_2008-18;Completeness_of_birth_reg_2009-18;Completeness_of_death_reg_2008-16
Sub_Saharan_Africa;Chad;;Chad;4.5;18.9;61.2;31.7;95;14.6;0;0.4;0.3;12;NaN
Europe_and_Central_Asia;United Kingdom;Channel Islands;Channel Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;38.7;NaN;NaN
Latin_america_and_caribbean;Chile;;Chile;8.5;58.5;34.8;1190.5;2002;0;1.1;0.9;59.3;99;100
East_Asia_and_Pacific;China;;China;5;58;35.9;398.3;761.5;0;1.8;2.3;40.1;NaN;4
East_Asia_and_Pacific;China;Hong Kong;Hong Kong SAR, China;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.8;NaN;NaN
East_Asia_and_Pacific;China;Macau;Macao SAR, China;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Colombia;;Colombia;5.9;62.3;20.2;340.4;829.8;2.1;2.1;1.3;22.7;96.8;98
Sub_Saharan_Africa;Comoros;;Comoros;7.6;14.6;73.1;59;115.8;10.8;0.2;0.9;NaN;87.3;NaN
Sub_Saharan_Africa;Congo (Kinshasa);;Congo, Dem. Rep.;3.9;12.3;37.4;20.5;34.5;43.4;0.1;0.5;0.2;24.6;NaN
Sub_Saharan_Africa;Congo (Brazzaville);;Congo, Rep.;4.6;42.3;49.7;70.4;263.3;3.3;0.1;1.7;0.2;96;NaN
Latin_america_and_caribbean;Costa Rica;;Costa Rica;7.6;74.8;22.1;888.9;1248.5;0.3;1.1;0.8;25.5;100;91
Sub_Saharan_Africa;Cote d'Ivoire;;Cote d'Ivoire;4.4;25.8;40.1;67.6;162.6;15;0.2;0.9;2.8;72;NaN
Europe_and_Central_Asia;Croatia;;Croatia;7.2;78.2;15.4;884.5;1705.2;NaN;3;8.1;81.2;100;100
Latin_america_and_caribbean;Cuba;;Cuba;12.2;89.6;10.3;970.6;2457.7;0.1;8.2;7.8;100.9;100;98
Europe_and_Central_Asia;Cyprus;;Cyprus;6.9;42.2;44.9;1634.4;2270.8;1.2;2;5.3;84.4;100;86
Europe_and_Central_Asia;Czechia;;Czech Republic;7.1;81.9;15;1321.6;2484.6;NaN;4.3;8.4;124.5;100;100
Europe_and_Central_Asia;Denmark;;Denmark;10.4;84.1;13.7;5565.6;5093;NaN;4.5;10.3;69;100;98
Middle_East_and_North_Africa;Djibouti;;Djibouti;3.5;45.8;25.8;70.2;122.1;27.8;0.2;0.5;4.4;NaN;NaN
Latin_america_and_caribbean;Dominica;;Dominica;5.3;64.3;29.1;419.4;580.7;5.4;1.1;5.9;11.3;NaN;100
Latin_america_and_caribbean;Dominican Republic;;Dominican Republic;6.2;45.7;44.6;414.2;936.8;0.6;1.6;0.3;NaN;88;56.9
Latin_america_and_caribbean;Ecuador;;Ecuador;8.4;51.2;40.5;504.8;942.9;0.4;2.1;1.2;59.4;82;80
Middle_East_and_North_Africa;Egypt;;Egypt, Arab Rep.;4.6;29.3;62;131;516.3;1;0.8;1.4;50.1;99.4;95
Latin_america_and_caribbean;El Salvador;;El Salvador;7;64.5;27.2;293.9;599.5;2.3;1.6;2.3;22.3;99;78
Sub_Saharan_Africa;Equatorial Guinea;;Equatorial Guinea;3.4;23.5;72.8;281.4;838.7;1.2;0.4;0.5;NaN;54;NaN
Sub_Saharan_Africa;Eritrea;;Eritrea;3;29.2;59.1;29.9;55.3;11.7;NaN;NaN;0.4;NaN;NaN
Europe_and_Central_Asia;Estonia;;Estonia;6.7;75.4;22.7;1185.3;1987.7;0.2;3.5;6.5;65;100;100
Sub_Saharan_Africa;Eswatini;;Eswatini;7.7;69.3;9.9;220.6;663.3;13.8;0.1;2;0.2;54;NaN
Sub_Saharan_Africa;Ethiopia;;Ethiopia;4;27.6;37.4;27.5;69.5;15.3;0.1;0.8;0.5;2.7;NaN
Europe_and_Central_Asia;Denmark;Faroe Islands;Faroe Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
East_Asia_and_Pacific;Fiji;;Fiji;3.5;63.9;20.6;179.9;313.2;3.1;0.8;2.9;5.4;NaN;100
Europe_and_Central_Asia;Finland;;Finland;9.5;77.4;20.4;4117.3;4112.1;0;3.8;14.7;76.3;100;100
Europe_and_Central_Asia;France;;France;11.5;82.9;9.8;4263.4;4782.3;0;3.2;9.7;58.6;100;100
East_Asia_and_Pacific;France;French Polynesia;French Polynesia;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.6;NaN;NaN
Sub_Saharan_Africa;Gabon;;Gabon;3.1;64.6;22.5;220.4;555.6;0.9;0.4;2.6;NaN;89.6;NaN
Sub_Saharan_Africa;Gambia;;Gambia, The;4.4;18.6;23.6;20.9;74.3;43.8;0.1;1.6;1.8;72;NaN
Europe_and_Central_Asia;Georgia;;Georgia;8.4;36.6;55.6;308;797.2;2.3;5.1;4.1;130.4;100;98
Europe_and_Central_Asia;Germany;;Germany;11.1;84.7;12.4;4714.3;5463.3;NaN;4.2;13.2;108;100;100
Sub_Saharan_Africa;Ghana;;Ghana;4.4;38.4;37.8;67.5;189.4;12.8;0.2;1.2;NaN;70.5;NaN
Europe_and_Central_Asia;Greece;;Greece;8.5;60.7;34.3;1510.7;2261.2;0.3;4.6;3.4;163.5;100;100
Europe_and_Central_Asia;Denmark;Greenland;Greenland;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Grenada;;Grenada;5.2;41.3;57.8;516.4;745.1;0.9;1.4;3.1;12.6;NaN;100
East_Asia_and_Pacific;US;Guam;Guam;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Guatemala;;Guatemala;5.8;37.2;53.3;241.4;462.4;0.9;0.4;0.9;3.4;96;92
Sub_Saharan_Africa;Guinea;;Guinea;5.5;12.3;49.8;37.5;107.7;27.2;0.1;0.4;NaN;62;NaN
Sub_Saharan_Africa;Guinea-Bissau;;Guinea-Bissau;6.1;44.3;35.4;39.1;98;20.3;0.2;1.4;NaN;24;NaN
Latin_america_and_caribbean;Guyana;;Guyana;4.2;58.9;35.1;192.3;332.7;5.9;0.8;1.3;8.8;89;81
Latin_america_and_caribbean;Haiti;;Haiti;5.4;15.3;41.7;37.7;95.4;38.4;0.2;0.7;5.9;84.8;NaN
Latin_america_and_caribbean;Honduras;;Honduras;8.4;45.9;45;199.6;400.3;3.1;0.3;0.9;13.7;93.6;17
Europe_and_Central_Asia;Hungary;;Hungary;7.4;65.9;29.7;942.6;1963.2;0;3.2;6.6;55.7;100;100
Europe_and_Central_Asia;Iceland;;Iceland;8.3;81.5;16.9;5063.6;4245.1;0;4;15.7;101.6;100;100
South_Asia;India;;India;3.7;25.4;64.6;62.7;241.5;1;0.8;2.1;6.8;79.7;NaN
East_Asia_and_Pacific;Indonesia;;Indonesia;3.1;44.7;37.3;111.6;362.7;0.4;0.4;2.1;NaN;72;NaN
Middle_East_and_North_Africa;Iran;;Iran, Islamic Rep.;8.1;54.5;38.8;415.4;1563.8;0;1.1;1.9;5;99;NaN
Middle_East_and_North_Africa;Iraq;;Iraq;3.3;21.1;78.5;152.6;493.7;0.4;0.8;1.7;7.6;99;65
Europe_and_Central_Asia;Ireland;;Ireland;7.4;72.1;13;4758.6;5299.7;0;3.1;14.3;72;100;100
Europe_and_Central_Asia;United Kingdom;Isle of Man;Isle of Man;NaN;NaN;NaN;NaN;NaN;NaN;1.4;2.3;52.4;85.4;NaN
Middle_East_and_North_Africa;Israel;;Israel;7.3;62.5;23;2837.1;2843;1.5;3.2;5.2;75.6;100;100
Europe_and_Central_Asia;Italy;;Italy;8.9;74.5;23.1;2738.7;3427.3;NaN;4.1;5.9;142.4;100;100
Latin_america_and_caribbean;Jamaica;;Jamaica;6.1;60.6;22.4;296.2;535.7;1.2;1.3;1.1;11.2;98;NaN
East_Asia_and_Pacific;Japan;;Japan;10.9;83.6;13.5;4233;4592.4;0;2.4;11.5;37.4;100;100
Middle_East_and_North_Africa;Jordan;;Jordan;5.5;63.2;28;223.5;494.8;5.7;2.3;3.4;24.5;98;65
Europe_and_Central_Asia;Kazakhstan;;Kazakhstan;3.5;58.8;35.6;262;858.8;1.2;3.3;8.5;73.2;100;91
Sub_Saharan_Africa;Kenya;;Kenya;4.5;36.2;27.7;66.2;143.5;19.5;0.2;1.5;2.4;66.9;NaN
East_Asia_and_Pacific;;;Kiribati;11.9;79.6;0.1;188;249.8;17;0.2;4.8;8.2;94;NaN
East_Asia_and_Pacific;;;Korea, Dem. People's Rep.;NaN;NaN;NaN;NaN;NaN;NaN;3.7;4.4;NaN;100;NaN
East_Asia_and_Pacific;Korea, South;;Korea, Rep.;7.3;59.2;33.3;2043.9;2711.7;0;2.4;7;49.6;NaN;99
Europe_and_Central_Asia;;;Kosovo;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.7;NaN;NaN
Middle_East_and_North_Africa;Kuwait;;Kuwait;3.9;83.9;16.1;1068.3;2899.3;0;2.6;7;NaN;NaN;95
Europe_and_Central_Asia;Kyrgyzstan;;Kyrgyz Republic;6.6;39.1;57.6;72.9;240.2;3.3;1.9;6.4;50.1;98;96
East_Asia_and_Pacific;Laos;;Lao PDR;2.4;32.4;46.4;55.2;154.6;18.1;0.5;1;3.7;73;NaN
Europe_and_Central_Asia;Latvia;;Latvia;6.2;54.6;44.6;874.2;1589.7;0;3.2;4.8;67.6;100;100
Middle_East_and_North_Africa;Lebanon;;Lebanon;8;52.1;32.1;662.1;1147.4;0.8;2.3;2.6;87.4;100;NaN
Sub_Saharan_Africa;;;Lesotho;8.1;63.8;18.9;85.5;242.7;17.3;0.1;0.7;0.6;43.3;NaN
Sub_Saharan_Africa;Liberia;;Liberia;9.6;14.2;47.3;68.3;133.1;30.1;0;0.1;0.6;24.6;NaN
Middle_East_and_North_Africa;Libya;;Libya;NaN;NaN;NaN;NaN;NaN;NaN;2.2;6.7;NaN;NaN;NaN
Europe_and_Central_Asia;Liechtenstein;;Liechtenstein;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;71.9;100;NaN
Europe_and_Central_Asia;Lithuania;;Lithuania;6.7;65.6;32.3;987.9;1978.3;1;4.3;7.9;130.9;100;100
Europe_and_Central_Asia;Luxembourg;;Luxembourg;6.2;81.2;11.2;6271.4;6374.2;1.2;3;12.3;80.8;100;100
Sub_Saharan_Africa;Madagascar;;Madagascar;6;47.7;22.4;24.1;90.4;25.1;0.2;0.1;0.8;83;NaN
Sub_Saharan_Africa;;;Malawi;9.8;28;11.4;29.6;115.2;53.8;0;0.3;0.4;67.2;NaN
East_Asia_and_Pacific;Malaysia;;Malaysia;3.8;50.5;37.6;361.5;1052.5;0;1.5;4.1;11.4;NaN;56
South_Asia;Maldives;;Maldives;10.6;72.6;19.1;1047.8;1628.5;0.5;1;4;4.8;98.8;84
Sub_Saharan_Africa;Mali;;Mali;3.8;31.6;35.3;29.8;81.2;32.2;0.1;0.4;1.1;86.7;NaN
Europe_and_Central_Asia;Malta;;Malta;9.3;63.1;34.8;2327.8;3511.1;0;3.8;9;113.5;100;99.9
East_Asia_and_Pacific;;;Marshall Islands;23.3;52.6;9;851.3;934.4;35.4;0.5;3.5;15.9;84;NaN
Sub_Saharan_Africa;Mauritania;;Mauritania;4.2;36.7;50.9;46.8;163.9;8.2;0.2;1;NaN;66;NaN
Sub_Saharan_Africa;Mauritius;;Mauritius;5.7;44.1;48.2;553.1;1206.7;0.2;2;3.4;17.6;NaN;100
Latin_america_and_caribbean;Mexico;;Mexico;5.5;52.1;40.4;461.8;971.8;NaN;2.2;2.9;NaN;95;99
East_Asia_and_Pacific;;;Micronesia, Fed. Sts.;12.6;27.8;2.6;386.7;431.6;69.2;0.2;3.3;7;NaN;NaN
Europe_and_Central_Asia;Moldova;;Moldova;9;48.8;46.3;171.2;480.4;3.7;3.2;4.5;86.1;100;90
Europe_and_Central_Asia;Monaco;;Monaco;1.7;79.6;7.1;2939.8;3019.1;NaN;6.6;20.3;195.6;100;80
East_Asia_and_Pacific;Mongolia;;Mongolia;3.8;56.7;35.9;140.7;466.7;3.9;2.9;4;45;99;92
Europe_and_Central_Asia;Montenegro;;Montenegro;7.6;75;24.1;531.7;1333.9;0.4;2.3;5.7;64.1;99;100
Middle_East_and_North_Africa;Morocco;;Morocco;5.8;46.9;48.6;171.5;465.7;0.7;0.7;1.1;3.7;96;24.3
Sub_Saharan_Africa;Mozambique;;Mozambique;5.1;53.3;7.7;19.2;61.6;38.1;0.1;0.4;0.5;55;NaN
East_Asia_and_Pacific;;;Myanmar;5.1;20.1;74;62.1;291.1;5.9;0.9;1;2.4;81.3;NaN
Sub_Saharan_Africa;Namibia;;Namibia;9.1;61.9;7.7;402.8;969.3;7;0.4;2.8;6.1;78;NaN
South_Asia;Nepal;;Nepal;6.3;18.6;55.4;45.5;156;11.7;0.7;2.7;3;56.2;NaN
Europe_and_Central_Asia;Netherlands;;Netherlands;10.4;81;11.5;4742;5251.2;0;3.5;11.1;49;100;100
East_Asia_and_Pacific;France;New Caledonia;New Caledonia;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
East_Asia_and_Pacific;New Zealand;;New Zealand;9.2;78.7;13.6;3745.2;3664.7;0;3;11;43;100;100
Latin_america_and_caribbean;Nicaragua;;Nicaragua;8.7;61.3;32.2;188.2;484.5;4.6;1;1.6;15.5;85;68
Sub_Saharan_Africa;Niger;;Niger;6.2;24.3;58.5;22.7;61.4;13;0.1;0.3;0.4;63.9;NaN
Sub_Saharan_Africa;Nigeria;;Nigeria;3.6;13;75.2;79.3;213.7;9.8;0.4;1.5;1.4;47;NaN
Europe_and_Central_Asia;North Macedonia;;North Macedonia;6.3;63.6;35.4;327.8;934.6;0.7;2.9;3.8;61.2;100;100
East_Asia_and_Pacific;;;Northern Mariana Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Europe_and_Central_Asia;Norway;;Norway;10.5;85.1;14.5;7477.9;6203.5;0;4.6;18.1;67.2;100;100
Middle_East_and_North_Africa;Oman;;Oman;4.3;89.1;5.9;648.3;2826.8;0;2;4.3;30.5;100;87
South_Asia;Pakistan;;Pakistan;2.8;27.9;65.2;39.6;144.1;4.1;1;0.5;5.5;42.2;NaN
East_Asia_and_Pacific;;;Palau;11.7;59.8;14.5;1674.1;1891.9;15.4;1.2;5.3;NaN;NaN;NaN
Latin_america_and_caribbean;Panama;;Panama;7.3;65.6;27.4;1040.7;1750.3;0.7;1.6;1.4;26.2;96;90
East_Asia_and_Pacific;Papua New Guinea;;Papua New Guinea;2;70;7.9;55.2;92.3;22.1;0.1;0.5;2.3;NaN;NaN
Latin_america_and_caribbean;Paraguay;;Paraguay;8;51.6;37.9;327.2;767.8;0;1.4;1.2;20.5;69;81
Latin_america_and_caribbean;Peru;;Peru;5.1;64.1;28.3;316.4;681;0.3;1.3;1.4;42.9;98;69
East_Asia_and_Pacific;Philippines;;Philippines;4.4;31.5;53.9;129.4;342.3;2.2;1.3;0.2;9.6;91.8;90
Europe_and_Central_Asia;Poland;;Poland;6.5;69.7;22.9;809;1784.4;0.2;2.4;5.7;67.9;100;100
Europe_and_Central_Asia;Portugal;;Portugal;9.1;66.4;27.8;1800.9;2778.4;NaN;3.3;6.4;86.1;100;100
Latin_america_and_caribbean;US;Puerto Rico;Puerto Rico;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Middle_East_and_North_Africa;Qatar;;Qatar;3.1;81.6;8.6;1827.1;3926.1;0;0;6.6;14.5;100;77
Europe_and_Central_Asia;Romania;;Romania;5;78.2;20.7;476.4;1152.2;0;2.3;6.1;60.5;NaN;100
Europe_and_Central_Asia;Russia;;Russian Federation;5.3;57;40.5;469.1;1329.3;NaN;4;8.6;63.1;100;100
Sub_Saharan_Africa;Rwanda;;Rwanda;6.8;33.9;6.4;48.1;130.4;50.6;0.1;0.8;0.8;56;NaN
East_Asia_and_Pacific;;;Samoa;5.5;76.4;11.9;227.1;352.8;10.8;0.3;1.9;1.6;59;NaN
Europe_and_Central_Asia;San Marino;;San Marino;6.4;80.4;18.8;3012.8;3832;NaN;6.1;8.8;112.9;100;NaN
Sub_Saharan_Africa;;;Sao Tome and Principe;6;39.9;14.4;105.1;196.9;44.6;0.3;2.3;NaN;95;NaN
Middle_East_and_North_Africa;Saudi Arabia;;Saudi Arabia;5.7;67.8;14.3;1147.3;3117.2;0;2.4;5.7;NaN;NaN;51
Sub_Saharan_Africa;Senegal;;Senegal;5.5;34.6;51.8;52.6;141.7;6.2;0.1;0.3;1.1;77.4;NaN
Europe_and_Central_Asia;Serbia;;Serbia;9.1;58;40.5;494.4;1322.6;0.1;3.1;6.1;86.7;99;90
Sub_Saharan_Africa;Seychelles;;Seychelles;3.9;96;2.1;596.9;1122.6;1.9;0.9;3.3;48.6;NaN;100
Sub_Saharan_Africa;;;Sierra Leone;16.5;11.2;41.6;86.3;244;41;0;1;0.1;81;NaN
East_Asia_and_Pacific;Singapore;;Singapore;4.5;54.5;31.2;2462.4;4083.8;0;2.3;7.2;31.5;NaN;74
Latin_america_and_caribbean;Netherlands;Sint Maarten;Sint Maarten (Dutch part);NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Europe_and_Central_Asia;Slovakia;;Slovak Republic;7.1;79.8;17.8;1178.7;2172.2;0;2.5;9.2;53.9;100;100
Europe_and_Central_Asia;Slovenia;;Slovenia;8.5;72.3;12;1834.2;2772.2;NaN;3;9.7;66.7;100;100
East_Asia_and_Pacific;;;Solomon Islands;5.2;69.2;4.6;106.3;117.8;26.2;0.2;2.1;2.5;88;NaN
Sub_Saharan_Africa;Somalia;;Somalia;NaN;NaN;NaN;NaN;NaN;NaN;0;0.1;0.2;NaN;NaN
Sub_Saharan_Africa;South Africa;;South Africa;8.1;53.7;7.8;428.2;1071.3;1.9;0.9;3.5;11.4;89;91
Sub_Saharan_Africa;;;South Sudan;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3;35;NaN
Europe_and_Central_Asia;Spain;;Spain;9;71.2;23.8;2389.9;3259.8;NaN;4.1;5.5;79.9;100;100
South_Asia;Sri Lanka;;Sri Lanka;3.9;43.1;50.1;153.1;491.5;1.1;1;2.1;2.8;NaN;NaN
Latin_america_and_caribbean;Saint Kitts and Nevis;;St. Kitts and Nevis;5.7;43.2;51.5;930.8;1479.6;0;2.5;4;33.5;NaN;79
Latin_america_and_caribbean;Saint Lucia;;St. Lucia;5.3;42;48.7;489.8;677.4;3.7;0.1;1.6;23.6;92;85
Latin_america_and_caribbean;France;St Martin;St. Martin (French part);NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Saint Vincent and the Grenadines;;St. Vincent and the Grenadines;3.6;76.8;20.5;250.2;409.1;0.6;0.7;2.6;23.6;NaN;100
Sub_Saharan_Africa;Sudan;;Sudan;5.7;19.5;73.9;152;297.9;2.2;0.4;0.8;2.7;67;NaN
Latin_america_and_caribbean;Suriname;;Suriname;6.1;69.4;21.8;356.1;907.6;1.4;1.2;4.1;NaN;99;100
Europe_and_Central_Asia;Sweden;;Sweden;10.9;83.5;15.2;5710.6;5386.7;NaN;5.4;11.5;113.1;100;100
Europe_and_Central_Asia;Switzerland;;Switzerland;12.2;62.8;29.6;9836;7867.4;NaN;4.2;17.3;94.8;100;100
Middle_East_and_North_Africa;Syria;;Syrian Arab Republic;NaN;NaN;NaN;NaN;NaN;NaN;1.2;1.5;NaN;NaN;92
Europe_and_Central_Asia;;;Tajikistan;7;28.6;66.1;55.7;208.5;5.1;1.7;5.2;41.7;95.8;NaN
Sub_Saharan_Africa;Tanzania;;Tanzania;4.1;40.6;21.9;35.5;112;36.4;0;0.4;0.5;26.4;NaN
East_Asia_and_Pacific;Thailand;;Thailand;3.7;78.1;12.1;221.9;635;0.2;0.8;3;13.1;100;NaN
East_Asia_and_Pacific;Timor-Leste;;Timor-Leste;4;55.8;8.9;79.9;121.7;31.6;0.7;1.7;0.9;60.4;NaN
Sub_Saharan_Africa;Togo;;Togo;6.6;20;50.4;38.8;99.9;20.7;0;0.3;0.5;78;NaN
East_Asia_and_Pacific;;;Tonga;5.3;65.9;11;203.2;311.4;19.4;0.5;3.9;14;93;NaN
Latin_america_and_caribbean;Trinidad and Tobago;;Trinidad and Tobago;6.5;52.8;40.1;1063.8;2180.5;0.1;2.7;3.5;30.9;97;85
Middle_East_and_North_Africa;Tunisia;;Tunisia;7;56.6;39.9;256.5;806.3;0.1;1.3;2.6;11.5;99;37
Europe_and_Central_Asia;Turkey;;Turkey;4.3;78.4;16.5;468.6;1089.2;NaN;1.8;2.6;47.6;99;78
Europe_and_Central_Asia;;;Turkmenistan;6.6;18.5;76.2;422.8;1116.9;0.2;2.2;4.6;58.8;100;NaN
Latin_america_and_caribbean;;;Turks and Caicos Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
East_Asia_and_Pacific;;;Tuvalu;15.5;84.5;0.7;507.4;601;12.2;0.9;3.8;26.1;NaN;NaN
Sub_Saharan_Africa;Uganda;;Uganda;6.2;16.6;40.3;37.6;117.1;40.4;0.1;0.6;1.1;32.2;NaN
Europe_and_Central_Asia;Ukraine;;Ukraine;6.7;42.4;54.3;141.2;534.2;0.8;3;7.1;86.6;100;99
Middle_East_and_North_Africa;United Arab Emirates;;United Arab Emirates;3.5;72.5;18.6;1323.1;2546.2;0;2.4;5.6;NaN;100;87
Europe_and_Central_Asia;United Kingdom;;United Kingdom;9.8;80.2;15.1;3958;4177.8;0;2.8;8.3;133.3;100;100
North_America;US;;United States;17.1;81.8;11.1;9869.7;9869.7;0;2.6;8.6;54.7;100;98
Latin_america_and_caribbean;Uruguay;;Uruguay;9.1;71.7;17.4;1379.1;1958.9;0;5;1.9;38.9;100;99
Europe_and_Central_Asia;Uzbekistan;;Uzbekistan;6.3;46.1;52.2;135.1;416.9;1.2;2.4;12.1;50.4;NaN;NaN
East_Asia_and_Pacific;;;Vanuatu;3.7;53.9;8.4;109.8;116.1;34.6;0.2;1.4;3.2;43;NaN
Latin_america_and_caribbean;Venezuela;;Venezuela, RB;3.2;24.1;40;1578.4;940;0;NaN;NaN;18.1;81;100
